unique_detection_id,emotion,confidence,bbox
29,angry,0.6736,"{""x1"": 546, ""y1"": 260, ""x2"": 654, ""y2"": 471}"
30,neutral,0.7719,"{""x1"": 421, ""y1"": 241, ""x2"": 591, ""y2"": 471}"
31,happy,0.8072,"{""x1"": 443, ""y1"": 402, ""x2"": 535, ""y2"": 707}"
32,neutral,0.911,"{""x1"": 538, ""y1"": 301, ""x2"": 700, ""y2"": 695}"
33,neutral,0.5622,"{""x1"": 74, ""y1"": 181, ""x2"": 156, ""y2"": 479}"
34,happy,0.94,"{""x1"": 493, ""y1"": 308, ""x2"": 603, ""y2"": 698}"
35,sad,0.5941,"{""x1"": 203, ""y1"": 77, ""x2"": 354, ""y2"": 439}"
36,neutral,0.8486,"{""x1"": 792, ""y1"": 68, ""x2"": 860, ""y2"": 333}"
37,neutral,0.768,"{""x1"": 611, ""y1"": 409, ""x2"": 750, ""y2"": 593}"
38,neutral,0.9293,"{""x1"": 561, ""y1"": 403, ""x2"": 623, ""y2"": 768}"
39,disgust,0.9071,"{""x1"": 125, ""y1"": 383, ""x2"": 248, ""y2"": 569}"
40,happy,0.9469,"{""x1"": 588, ""y1"": 362, ""x2"": 696, ""y2"": 714}"
41,happy,0.9268,"{""x1"": 486, ""y1"": 127, ""x2"": 608, ""y2"": 494}"
42,neutral,0.8616,"{""x1"": 59, ""y1"": 248, ""x2"": 120, ""y2"": 441}"
43,surprise,0.9257,"{""x1"": 296, ""y1"": 467, ""x2"": 469, ""y2"": 703}"
44,happy,0.833,"{""x1"": 272, ""y1"": 476, ""x2"": 447, ""y2"": 703}"
45,neutral,0.7784,"{""x1"": 551, ""y1"": 141, ""x2"": 708, ""y2"": 401}"
46,happy,0.719,"{""x1"": 496, ""y1"": 194, ""x2"": 556, ""y2"": 359}"
47,sad,0.7288,"{""x1"": 336, ""y1"": 154, ""x2"": 446, ""y2"": 553}"
48,angry,0.7009,"{""x1"": 160, ""y1"": 352, ""x2"": 279, ""y2"": 678}"
49,happy,0.8642,"{""x1"": 577, ""y1"": 313, ""x2"": 644, ""y2"": 531}"
50,happy,0.6607,"{""x1"": 737, ""y1"": 242, ""x2"": 899, ""y2"": 601}"
51,happy,0.7478,"{""x1"": 433, ""y1"": 496, ""x2"": 589, ""y2"": 799}"
52,neutral,0.7125,"{""x1"": 216, ""y1"": 405, ""x2"": 316, ""y2"": 791}"
53,sad,0.788,"{""x1"": 794, ""y1"": 416, ""x2"": 911, ""y2"": 815}"
54,neutral,0.7421,"{""x1"": 579, ""y1"": 367, ""x2"": 670, ""y2"": 535}"
55,neutral,0.6381,"{""x1"": 389, ""y1"": 288, ""x2"": 508, ""y2"": 671}"
56,angry,0.5766,"{""x1"": 585, ""y1"": 414, ""x2"": 663, ""y2"": 783}"
57,neutral,0.615,"{""x1"": 757, ""y1"": 236, ""x2"": 866, ""y2"": 588}"
58,happy,0.9196,"{""x1"": 633, ""y1"": 471, ""x2"": 744, ""y2"": 702}"
59,happy,0.8857,"{""x1"": 709, ""y1"": 428, ""x2"": 774, ""y2"": 600}"
60,sad,0.7937,"{""x1"": 693, ""y1"": 498, ""x2"": 840, ""y2"": 801}"
61,happy,0.6333,"{""x1"": 92, ""y1"": 445, ""x2"": 200, ""y2"": 826}"
62,neutral,0.8419,"{""x1"": 249, ""y1"": 50, ""x2"": 317, ""y2"": 358}"
63,angry,0.7878,"{""x1"": 341, ""y1"": 62, ""x2"": 417, ""y2"": 418}"
64,neutral,0.9013,"{""x1"": 764, ""y1"": 379, ""x2"": 839, ""y2"": 554}"
65,happy,0.6305,"{""x1"": 299, ""y1"": 359, ""x2"": 438, ""y2"": 704}"
66,neutral,0.5826,"{""x1"": 734, ""y1"": 432, ""x2"": 798, ""y2"": 664}"
67,happy,0.5692,"{""x1"": 608, ""y1"": 211, ""x2"": 722, ""y2"": 529}"
68,neutral,0.5688,"{""x1"": 473, ""y1"": 95, ""x2"": 650, ""y2"": 405}"
69,angry,0.7477,"{""x1"": 521, ""y1"": 260, ""x2"": 686, ""y2"": 595}"
70,fear,0.5788,"{""x1"": 444, ""y1"": 169, ""x2"": 519, ""y2"": 390}"
71,neutral,0.6556,"{""x1"": 330, ""y1"": 147, ""x2"": 442, ""y2"": 499}"
72,neutral,0.6565,"{""x1"": 426, ""y1"": 81, ""x2"": 500, ""y2"": 335}"
73,neutral,0.6793,"{""x1"": 85, ""y1"": 141, ""x2"": 201, ""y2"": 460}"
74,neutral,0.5549,"{""x1"": 528, ""y1"": 420, ""x2"": 653, ""y2"": 799}"
75,neutral,0.8676,"{""x1"": 588, ""y1"": 446, ""x2"": 681, ""y2"": 753}"
76,happy,0.6395,"{""x1"": 738, ""y1"": 316, ""x2"": 893, ""y2"": 534}"
77,angry,0.9041,"{""x1"": 550, ""y1"": 381, ""x2"": 685, ""y2"": 555}"
78,neutral,0.5587,"{""x1"": 171, ""y1"": 251, ""x2"": 267, ""y2"": 561}"
79,happy,0.7974,"{""x1"": 218, ""y1"": 216, ""x2"": 349, ""y2"": 390}"
80,neutral,0.6881,"{""x1"": 560, ""y1"": 466, ""x2"": 626, ""y2"": 825}"
709,happy,0.6001,"{""x1"": 115, ""y1"": 287, ""x2"": 275, ""y2"": 612}"
710,neutral,0.612,"{""x1"": 593, ""y1"": 227, ""x2"": 713, ""y2"": 390}"
711,surprise,0.6298,"{""x1"": 397, ""y1"": 165, ""x2"": 470, ""y2"": 321}"
712,happy,0.7208,"{""x1"": 219, ""y1"": 124, ""x2"": 349, ""y2"": 364}"
713,happy,0.7868,"{""x1"": 735, ""y1"": 74, ""x2"": 837, ""y2"": 253}"
714,happy,0.7356,"{""x1"": 368, ""y1"": 150, ""x2"": 506, ""y2"": 535}"
715,neutral,0.6136,"{""x1"": 445, ""y1"": 374, ""x2"": 564, ""y2"": 753}"
716,happy,0.5924,"{""x1"": 341, ""y1"": 267, ""x2"": 500, ""y2"": 523}"
717,sad,0.8944,"{""x1"": 720, ""y1"": 237, ""x2"": 880, ""y2"": 393}"
718,angry,0.7742,"{""x1"": 113, ""y1"": 500, ""x2"": 225, ""y2"": 775}"
719,happy,0.7373,"{""x1"": 97, ""y1"": 301, ""x2"": 198, ""y2"": 538}"
720,happy,0.5932,"{""x1"": 357, ""y1"": 137, ""x2"": 485, ""y2"": 344}"
721,happy,0.8314,"{""x1"": 749, ""y1"": 378, ""x2"": 869, ""y2"": 701}"
722,happy,0.5827,"{""x1"": 224, ""y1"": 482, ""x2"": 382, ""y2"": 835}"
723,sad,0.5789,"{""x1"": 786, ""y1"": 395, ""x2"": 862, ""y2"": 546}"
724,neutral,0.9023,"{""x1"": 619, ""y1"": 315, ""x2"": 718, ""y2"": 576}"
725,neutral,0.7578,"{""x1"": 306, ""y1"": 441, ""x2"": 408, ""y2"": 683}"
726,neutral,0.7843,"{""x1"": 716, ""y1"": 388, ""x2"": 835, ""y2"": 681}"
727,happy,0.9352,"{""x1"": 517, ""y1"": 249, ""x2"": 637, ""y2"": 622}"
728,fear,0.7598,"{""x1"": 531, ""y1"": 146, ""x2"": 685, ""y2"": 328}"
729,neutral,0.9732,"{""x1"": 501, ""y1"": 489, ""x2"": 619, ""y2"": 758}"
730,neutral,0.9648,"{""x1"": 617, ""y1"": 480, ""x2"": 678, ""y2"": 789}"
731,happy,0.7152,"{""x1"": 511, ""y1"": 202, ""x2"": 669, ""y2"": 475}"
732,neutral,0.7755,"{""x1"": 165, ""y1"": 462, ""x2"": 248, ""y2"": 776}"
733,sad,0.8503,"{""x1"": 270, ""y1"": 426, ""x2"": 352, ""y2"": 808}"
734,neutral,0.8213,"{""x1"": 798, ""y1"": 236, ""x2"": 953, ""y2"": 609}"
735,sad,0.7452,"{""x1"": 298, ""y1"": 316, ""x2"": 365, ""y2"": 537}"
736,surprise,0.624,"{""x1"": 787, ""y1"": 380, ""x2"": 946, ""y2"": 638}"
737,neutral,0.5675,"{""x1"": 55, ""y1"": 140, ""x2"": 174, ""y2"": 423}"
738,happy,0.7415,"{""x1"": 255, ""y1"": 201, ""x2"": 423, ""y2"": 530}"
739,neutral,0.5861,"{""x1"": 409, ""y1"": 252, ""x2"": 489, ""y2"": 438}"
740,fear,0.7814,"{""x1"": 701, ""y1"": 229, ""x2"": 773, ""y2"": 591}"
741,neutral,0.8733,"{""x1"": 407, ""y1"": 282, ""x2"": 563, ""y2"": 529}"
742,happy,0.8455,"{""x1"": 353, ""y1"": 200, ""x2"": 490, ""y2"": 412}"
743,neutral,0.6442,"{""x1"": 553, ""y1"": 118, ""x2"": 658, ""y2"": 284}"
744,sad,0.5989,"{""x1"": 128, ""y1"": 362, ""x2"": 218, ""y2"": 738}"
745,happy,0.8368,"{""x1"": 320, ""y1"": 395, ""x2"": 412, ""y2"": 577}"
746,neutral,0.8586,"{""x1"": 763, ""y1"": 223, ""x2"": 828, ""y2"": 374}"
747,neutral,0.9016,"{""x1"": 511, ""y1"": 169, ""x2"": 617, ""y2"": 417}"
748,neutral,0.7184,"{""x1"": 615, ""y1"": 254, ""x2"": 793, ""y2"": 619}"
749,neutral,0.9451,"{""x1"": 565, ""y1"": 59, ""x2"": 626, ""y2"": 247}"
750,neutral,0.8583,"{""x1"": 383, ""y1"": 378, ""x2"": 517, ""y2"": 567}"
751,happy,0.9693,"{""x1"": 434, ""y1"": 257, ""x2"": 589, ""y2"": 509}"
752,happy,0.7152,"{""x1"": 683, ""y1"": 238, ""x2"": 773, ""y2"": 566}"
753,neutral,0.6551,"{""x1"": 775, ""y1"": 250, ""x2"": 922, ""y2"": 537}"
754,neutral,0.9812,"{""x1"": 644, ""y1"": 106, ""x2"": 744, ""y2"": 372}"
755,fear,0.9822,"{""x1"": 769, ""y1"": 263, ""x2"": 918, ""y2"": 465}"
756,happy,0.8962,"{""x1"": 755, ""y1"": 323, ""x2"": 923, ""y2"": 517}"
757,neutral,0.6571,"{""x1"": 236, ""y1"": 334, ""x2"": 385, ""y2"": 649}"
758,sad,0.8362,"{""x1"": 326, ""y1"": 221, ""x2"": 422, ""y2"": 410}"
759,neutral,0.9597,"{""x1"": 326, ""y1"": 243, ""x2"": 491, ""y2"": 484}"
760,neutral,0.7566,"{""x1"": 457, ""y1"": 188, ""x2"": 595, ""y2"": 568}"
761,fear,0.9359,"{""x1"": 515, ""y1"": 257, ""x2"": 600, ""y2"": 421}"
762,neutral,0.7316,"{""x1"": 90, ""y1"": 130, ""x2"": 168, ""y2"": 523}"
763,neutral,0.822,"{""x1"": 55, ""y1"": 310, ""x2"": 209, ""y2"": 608}"
764,neutral,0.7215,"{""x1"": 779, ""y1"": 53, ""x2"": 958, ""y2"": 445}"
765,fear,0.7921,"{""x1"": 297, ""y1"": 254, ""x2"": 467, ""y2"": 421}"
766,neutral,0.9556,"{""x1"": 665, ""y1"": 421, ""x2"": 727, ""y2"": 652}"
767,neutral,0.9737,"{""x1"": 106, ""y1"": 428, ""x2"": 245, ""y2"": 588}"
768,angry,0.7281,"{""x1"": 304, ""y1"": 151, ""x2"": 411, ""y2"": 392}"
769,neutral,0.6628,"{""x1"": 330, ""y1"": 167, ""x2"": 488, ""y2"": 354}"
770,neutral,0.9336,"{""x1"": 656, ""y1"": 157, ""x2"": 785, ""y2"": 375}"
771,neutral,0.8833,"{""x1"": 480, ""y1"": 415, ""x2"": 601, ""y2"": 744}"
772,neutral,0.7069,"{""x1"": 770, ""y1"": 206, ""x2"": 870, ""y2"": 594}"
773,neutral,0.9434,"{""x1"": 630, ""y1"": 133, ""x2"": 699, ""y2"": 497}"
774,happy,0.7995,"{""x1"": 280, ""y1"": 333, ""x2"": 343, ""y2"": 527}"
775,happy,0.9285,"{""x1"": 430, ""y1"": 403, ""x2"": 586, ""y2"": 723}"
776,happy,0.9626,"{""x1"": 147, ""y1"": 197, ""x2"": 217, ""y2"": 555}"
777,happy,0.8454,"{""x1"": 623, ""y1"": 251, ""x2"": 757, ""y2"": 522}"
778,neutral,0.83,"{""x1"": 468, ""y1"": 318, ""x2"": 549, ""y2"": 525}"
779,neutral,0.7631,"{""x1"": 423, ""y1"": 305, ""x2"": 535, ""y2"": 568}"
780,neutral,0.7356,"{""x1"": 793, ""y1"": 246, ""x2"": 933, ""y2"": 415}"
781,happy,0.8496,"{""x1"": 791, ""y1"": 335, ""x2"": 903, ""y2"": 695}"
782,neutral,0.6419,"{""x1"": 785, ""y1"": 217, ""x2"": 949, ""y2"": 434}"
783,neutral,0.9259,"{""x1"": 777, ""y1"": 84, ""x2"": 929, ""y2"": 409}"
784,neutral,0.9665,"{""x1"": 736, ""y1"": 387, ""x2"": 882, ""y2"": 580}"
785,neutral,0.9543,"{""x1"": 125, ""y1"": 54, ""x2"": 195, ""y2"": 271}"
786,neutral,0.6405,"{""x1"": 599, ""y1"": 72, ""x2"": 665, ""y2"": 305}"
787,neutral,0.5537,"{""x1"": 590, ""y1"": 371, ""x2"": 706, ""y2"": 769}"
788,happy,0.8976,"{""x1"": 123, ""y1"": 277, ""x2"": 213, ""y2"": 613}"
789,neutral,0.572,"{""x1"": 746, ""y1"": 410, ""x2"": 809, ""y2"": 604}"
790,happy,0.9184,"{""x1"": 661, ""y1"": 198, ""x2"": 760, ""y2"": 564}"
791,neutral,0.6925,"{""x1"": 106, ""y1"": 477, ""x2"": 244, ""y2"": 692}"
792,sad,0.5864,"{""x1"": 445, ""y1"": 57, ""x2"": 601, ""y2"": 382}"
793,angry,0.9243,"{""x1"": 642, ""y1"": 102, ""x2"": 764, ""y2"": 481}"
794,fear,0.9806,"{""x1"": 468, ""y1"": 281, ""x2"": 604, ""y2"": 632}"
795,surprise,0.5703,"{""x1"": 663, ""y1"": 104, ""x2"": 740, ""y2"": 433}"
796,happy,0.6815,"{""x1"": 230, ""y1"": 67, ""x2"": 320, ""y2"": 421}"
797,neutral,0.6578,"{""x1"": 481, ""y1"": 193, ""x2"": 543, ""y2"": 538}"
798,neutral,0.9223,"{""x1"": 423, ""y1"": 494, ""x2"": 509, ""y2"": 786}"
799,happy,0.781,"{""x1"": 439, ""y1"": 232, ""x2"": 525, ""y2"": 604}"
800,fear,0.9737,"{""x1"": 712, ""y1"": 342, ""x2"": 775, ""y2"": 561}"
801,sad,0.815,"{""x1"": 202, ""y1"": 410, ""x2"": 343, ""y2"": 668}"
802,neutral,0.6203,"{""x1"": 121, ""y1"": 60, ""x2"": 270, ""y2"": 237}"
803,surprise,0.8629,"{""x1"": 148, ""y1"": 242, ""x2"": 327, ""y2"": 439}"
804,disgust,0.673,"{""x1"": 519, ""y1"": 499, ""x2"": 619, ""y2"": 794}"
805,surprise,0.9337,"{""x1"": 705, ""y1"": 427, ""x2"": 872, ""y2"": 803}"
806,happy,0.7227,"{""x1"": 57, ""y1"": 80, ""x2"": 182, ""y2"": 261}"
807,happy,0.5949,"{""x1"": 528, ""y1"": 247, ""x2"": 652, ""y2"": 494}"
808,happy,0.5733,"{""x1"": 555, ""y1"": 83, ""x2"": 636, ""y2"": 238}"
809,happy,0.7399,"{""x1"": 525, ""y1"": 384, ""x2"": 624, ""y2"": 654}"
810,sad,0.7157,"{""x1"": 714, ""y1"": 408, ""x2"": 876, ""y2"": 700}"
811,neutral,0.8755,"{""x1"": 467, ""y1"": 413, ""x2"": 639, ""y2"": 730}"
812,neutral,0.9504,"{""x1"": 298, ""y1"": 254, ""x2"": 459, ""y2"": 597}"
813,neutral,0.938,"{""x1"": 647, ""y1"": 137, ""x2"": 761, ""y2"": 534}"
814,neutral,0.7966,"{""x1"": 151, ""y1"": 270, ""x2"": 248, ""y2"": 449}"
815,happy,0.7795,"{""x1"": 775, ""y1"": 344, ""x2"": 899, ""y2"": 675}"
816,happy,0.7843,"{""x1"": 797, ""y1"": 274, ""x2"": 971, ""y2"": 526}"
817,neutral,0.6844,"{""x1"": 588, ""y1"": 124, ""x2"": 649, ""y2"": 349}"
818,neutral,0.6014,"{""x1"": 120, ""y1"": 80, ""x2"": 236, ""y2"": 363}"
819,neutral,0.7481,"{""x1"": 124, ""y1"": 244, ""x2"": 275, ""y2"": 643}"
820,neutral,0.6128,"{""x1"": 384, ""y1"": 399, ""x2"": 447, ""y2"": 744}"
821,neutral,0.8765,"{""x1"": 755, ""y1"": 270, ""x2"": 899, ""y2"": 517}"
822,neutral,0.6752,"{""x1"": 256, ""y1"": 170, ""x2"": 382, ""y2"": 380}"
823,neutral,0.633,"{""x1"": 483, ""y1"": 413, ""x2"": 651, ""y2"": 626}"
1392,disgust,0.8756,"{""x1"": 90, ""y1"": 113, ""x2"": 150, ""y2"": 415}"
1393,neutral,0.8427,"{""x1"": 416, ""y1"": 498, ""x2"": 547, ""y2"": 654}"
1394,neutral,0.665,"{""x1"": 602, ""y1"": 120, ""x2"": 745, ""y2"": 310}"
1395,neutral,0.922,"{""x1"": 370, ""y1"": 415, ""x2"": 430, ""y2"": 638}"
1396,happy,0.6666,"{""x1"": 149, ""y1"": 103, ""x2"": 312, ""y2"": 431}"
1397,fear,0.8564,"{""x1"": 667, ""y1"": 151, ""x2"": 845, ""y2"": 499}"
1398,neutral,0.9641,"{""x1"": 335, ""y1"": 489, ""x2"": 478, ""y2"": 728}"
1399,happy,0.665,"{""x1"": 776, ""y1"": 316, ""x2"": 850, ""y2"": 707}"
1400,surprise,0.6889,"{""x1"": 709, ""y1"": 333, ""x2"": 837, ""y2"": 603}"
1401,neutral,0.6333,"{""x1"": 799, ""y1"": 142, ""x2"": 909, ""y2"": 477}"
1402,surprise,0.666,"{""x1"": 549, ""y1"": 496, ""x2"": 716, ""y2"": 758}"
1403,happy,0.5635,"{""x1"": 444, ""y1"": 103, ""x2"": 549, ""y2"": 412}"
1404,happy,0.9539,"{""x1"": 451, ""y1"": 342, ""x2"": 553, ""y2"": 742}"
1405,fear,0.8326,"{""x1"": 105, ""y1"": 100, ""x2"": 269, ""y2"": 362}"
1406,happy,0.6324,"{""x1"": 745, ""y1"": 199, ""x2"": 924, ""y2"": 538}"
1407,neutral,0.8229,"{""x1"": 138, ""y1"": 427, ""x2"": 258, ""y2"": 710}"
1408,sad,0.8003,"{""x1"": 281, ""y1"": 458, ""x2"": 403, ""y2"": 829}"
1409,neutral,0.8935,"{""x1"": 595, ""y1"": 138, ""x2"": 686, ""y2"": 458}"
1410,surprise,0.9615,"{""x1"": 59, ""y1"": 397, ""x2"": 183, ""y2"": 599}"
1411,happy,0.6844,"{""x1"": 742, ""y1"": 457, ""x2"": 806, ""y2"": 657}"
1412,neutral,0.6981,"{""x1"": 246, ""y1"": 68, ""x2"": 386, ""y2"": 431}"
1413,happy,0.6099,"{""x1"": 724, ""y1"": 309, ""x2"": 881, ""y2"": 580}"
1414,neutral,0.7461,"{""x1"": 428, ""y1"": 56, ""x2"": 526, ""y2"": 362}"
1415,fear,0.9194,"{""x1"": 658, ""y1"": 95, ""x2"": 727, ""y2"": 376}"
1416,neutral,0.7244,"{""x1"": 225, ""y1"": 400, ""x2"": 299, ""y2"": 788}"
1417,neutral,0.7926,"{""x1"": 197, ""y1"": 242, ""x2"": 318, ""y2"": 471}"
1418,neutral,0.8004,"{""x1"": 724, ""y1"": 129, ""x2"": 839, ""y2"": 359}"
1419,happy,0.8482,"{""x1"": 440, ""y1"": 177, ""x2"": 538, ""y2"": 496}"
1420,neutral,0.9355,"{""x1"": 123, ""y1"": 124, ""x2"": 261, ""y2"": 496}"
1421,happy,0.9725,"{""x1"": 499, ""y1"": 481, ""x2"": 597, ""y2"": 730}"
1422,neutral,0.8117,"{""x1"": 599, ""y1"": 388, ""x2"": 682, ""y2"": 591}"
1423,neutral,0.7464,"{""x1"": 494, ""y1"": 118, ""x2"": 611, ""y2"": 329}"
1424,neutral,0.9301,"{""x1"": 255, ""y1"": 186, ""x2"": 380, ""y2"": 390}"
1425,happy,0.6036,"{""x1"": 268, ""y1"": 406, ""x2"": 376, ""y2"": 694}"
1426,neutral,0.7254,"{""x1"": 250, ""y1"": 477, ""x2"": 316, ""y2"": 798}"
1427,neutral,0.9659,"{""x1"": 676, ""y1"": 160, ""x2"": 785, ""y2"": 406}"
1428,happy,0.8831,"{""x1"": 519, ""y1"": 232, ""x2"": 618, ""y2"": 458}"
1429,neutral,0.9629,"{""x1"": 293, ""y1"": 325, ""x2"": 459, ""y2"": 632}"
1430,neutral,0.565,"{""x1"": 153, ""y1"": 352, ""x2"": 214, ""y2"": 643}"
1431,neutral,0.701,"{""x1"": 173, ""y1"": 230, ""x2"": 288, ""y2"": 538}"
1432,neutral,0.8787,"{""x1"": 671, ""y1"": 160, ""x2"": 780, ""y2"": 336}"
1433,happy,0.8139,"{""x1"": 761, ""y1"": 199, ""x2"": 832, ""y2"": 376}"
1434,neutral,0.6253,"{""x1"": 211, ""y1"": 391, ""x2"": 332, ""y2"": 702}"
1435,happy,0.5874,"{""x1"": 435, ""y1"": 350, ""x2"": 529, ""y2"": 716}"
1436,happy,0.5714,"{""x1"": 85, ""y1"": 338, ""x2"": 181, ""y2"": 691}"
1437,sad,0.909,"{""x1"": 770, ""y1"": 145, ""x2"": 847, ""y2"": 315}"
1438,happy,0.6247,"{""x1"": 476, ""y1"": 220, ""x2"": 557, ""y2"": 432}"
1439,fear,0.8171,"{""x1"": 668, ""y1"": 487, ""x2"": 818, ""y2"": 688}"
1440,neutral,0.8807,"{""x1"": 682, ""y1"": 234, ""x2"": 744, ""y2"": 421}"
1441,neutral,0.8657,"{""x1"": 65, ""y1"": 299, ""x2"": 211, ""y2"": 592}"
1442,happy,0.7137,"{""x1"": 75, ""y1"": 205, ""x2"": 152, ""y2"": 486}"
1443,neutral,0.7987,"{""x1"": 383, ""y1"": 411, ""x2"": 487, ""y2"": 609}"
1444,neutral,0.7548,"{""x1"": 696, ""y1"": 76, ""x2"": 777, ""y2"": 338}"
1445,neutral,0.7168,"{""x1"": 665, ""y1"": 414, ""x2"": 729, ""y2"": 714}"
1446,neutral,0.9206,"{""x1"": 103, ""y1"": 425, ""x2"": 176, ""y2"": 795}"
1447,fear,0.6112,"{""x1"": 115, ""y1"": 397, ""x2"": 206, ""y2"": 660}"
1448,neutral,0.7006,"{""x1"": 357, ""y1"": 174, ""x2"": 470, ""y2"": 459}"
1449,happy,0.571,"{""x1"": 357, ""y1"": 456, ""x2"": 471, ""y2"": 820}"
1450,neutral,0.7341,"{""x1"": 655, ""y1"": 186, ""x2"": 816, ""y2"": 344}"
1451,neutral,0.6931,"{""x1"": 469, ""y1"": 288, ""x2"": 603, ""y2"": 497}"
1452,happy,0.7143,"{""x1"": 702, ""y1"": 443, ""x2"": 790, ""y2"": 784}"
1453,neutral,0.8186,"{""x1"": 155, ""y1"": 99, ""x2"": 232, ""y2"": 301}"
1454,neutral,0.9142,"{""x1"": 472, ""y1"": 475, ""x2"": 575, ""y2"": 715}"
1455,happy,0.648,"{""x1"": 572, ""y1"": 93, ""x2"": 677, ""y2"": 388}"
1456,disgust,0.743,"{""x1"": 286, ""y1"": 400, ""x2"": 443, ""y2"": 573}"
1457,neutral,0.7068,"{""x1"": 228, ""y1"": 392, ""x2"": 405, ""y2"": 592}"
1458,sad,0.8869,"{""x1"": 725, ""y1"": 396, ""x2"": 857, ""y2"": 551}"
1459,neutral,0.7609,"{""x1"": 692, ""y1"": 216, ""x2"": 866, ""y2"": 372}"
1460,happy,0.831,"{""x1"": 60, ""y1"": 269, ""x2"": 228, ""y2"": 556}"
1461,happy,0.9317,"{""x1"": 189, ""y1"": 236, ""x2"": 279, ""y2"": 562}"
1462,happy,0.7412,"{""x1"": 324, ""y1"": 212, ""x2"": 503, ""y2"": 390}"
1463,happy,0.7528,"{""x1"": 671, ""y1"": 180, ""x2"": 818, ""y2"": 401}"
1464,happy,0.6231,"{""x1"": 543, ""y1"": 425, ""x2"": 715, ""y2"": 748}"
1465,sad,0.6992,"{""x1"": 417, ""y1"": 424, ""x2"": 501, ""y2"": 579}"
1466,happy,0.9517,"{""x1"": 155, ""y1"": 225, ""x2"": 333, ""y2"": 620}"
1467,neutral,0.9376,"{""x1"": 281, ""y1"": 345, ""x2"": 344, ""y2"": 655}"
1468,neutral,0.9798,"{""x1"": 204, ""y1"": 142, ""x2"": 372, ""y2"": 377}"
1469,neutral,0.877,"{""x1"": 84, ""y1"": 187, ""x2"": 215, ""y2"": 444}"
1470,happy,0.9192,"{""x1"": 72, ""y1"": 111, ""x2"": 160, ""y2"": 344}"
1471,happy,0.8109,"{""x1"": 639, ""y1"": 335, ""x2"": 753, ""y2"": 521}"
1472,neutral,0.9156,"{""x1"": 270, ""y1"": 388, ""x2"": 369, ""y2"": 734}"
1473,happy,0.7653,"{""x1"": 546, ""y1"": 306, ""x2"": 663, ""y2"": 646}"
1474,fear,0.8964,"{""x1"": 674, ""y1"": 361, ""x2"": 813, ""y2"": 675}"
1475,neutral,0.5709,"{""x1"": 667, ""y1"": 217, ""x2"": 826, ""y2"": 570}"
1476,happy,0.8852,"{""x1"": 358, ""y1"": 173, ""x2"": 478, ""y2"": 383}"
